Sentence #,Word,Tag
,the,
,U.N.,B-rg
,Security,I-rg
,Council,I-rg
,",",
,which,
,could,
,impose,
,sanctions,
,if,
,it,
,finds,
,Tehran,B-gpe
,has,
,violated,
,the,
,Nuclear,B-art
,Non-Proliferation,I-art
,treaty,
,.,
Sentence: 13,Iran,B-gpe
,'s,
,new,
,President,B-per
,Mahmoud,I-per
,Ahmadinejad,I-per
,said,
,Tuesday,B-tim
,that,
,European,B-gpe
,incentives,
,aimed,
,at,
,persuading,
,Iran,B-gpe
,to,
,end,
,its,
,nuclear,
,fuel,
,program,
,are,
,an,
,insult,
,to,
,the,
,Iranian,B-gpe
,nation,
,.,
Sentence: 14,Two,
,Germans,B-gpe
,and,
,four,
,Nigerian,B-gpe
,oil,
,workers,
,were,
,kidnapped,
,by,
,armed,
,militants,
,during,
,a,
,raid,
,on,
,a,
,boat,
,in,
,Nigeria,B-ge
,'s,
,southern,
,oil-rich,
,Delta,B-ge
,region,
,.,
Sentence: 15,An,
,official,
,with,
,the,
,German,B-gpe
,firm,
,Bilfinger,B-rg
,Berger,I-rg
,",",
,Thomas,B-per
,Horbach,I-per
,",",
,said,
,the,
,gunmen,
,stopped,
,the,
,supply,
,boat,
,Wednesday,B-tim
,as,
,it,
,sailed,
,from,
,Delta,B-ge
,State,I-ge
,to,
,Bayelsa,B-ge
,State,I-ge
,to,
,inspect,
,an,
,offshore,
,oil,
,field,
,owned,
,by,
,Royal-Dutch,B-rg
,Shell,I-rg
,.,
Sentence: 16,The,
,German,B-gpe
,firm,
,works,
,as,
,a,
,sub-contractor,
,for,
,Shell,B-rg
,.,
Sentence: 17,Militant,
,groups,
,frequently,
,attack,
,oil,
,operations,
,in,
,the,
,Niger,B-ge
,Delta,I-ge
,to,
,demand,
,social,
,services,
,and,
,better,
,job,
,opportunities,
,from,
,multinational,
,companies,
,.,
Sentence: 18,Poor,
,residents,
,often,
,complain,
,they,
,have,
,been,
,cheated,
,out,
,of,
,the,
,huge,
,riches,
,extracted,
,from,
,their,
,tribal,
,lands,
,-,
,where,
,the,
,bulk,
,of,
,Nigeria,B-gpe
,'s,
,2.3,
,million,
,barrels,
,of,
,petroleum,
,are,
,pumped,
,daily,
,.,
Sentence: 19,Suspected,
,Islamist,
,rebels,
,have,
,fired,
,mortar,
,shells,
,at,
,the,
,palace,
,used,
,by,
,Somalia,B-ge
,'s,
,interim,
,President,B-per
,Abdullahi,I-per
,Yusuf,I-per
,Ahmad,I-per
,.,
Sentence: 20,It,
,was,
,not,
,immediately,
,clear,
,if,
,the,
,president,
,was,
,in,
,the,
,palace,
,in,
,Mogadishu,B-ge
,when,
,the,
,attack,
,occurred,
,or,
,if,
,anyone,
,was,
,hurt,
,.,
Sentence: 21,Local,
,news,
,reports,
,said,
,at,
,least,
,five,
,mortar,
,shells,
,hit,
,the,
,palace,
,compound,
,and,
,other,
,mortars,
,were,
,fired,
,elsewhere,
,in,
,Mogadishu,B-ge
,Wednesday,B-tim
,.,
Sentence: 22,The,
,attacks,
,occurred,
,after,
,the,
,government,
,said,
,it,
,will,
,go,
,ahead,
,with,
,a,
,reconciliation,
,conference,
,to,
,which,
,more,
,than,
,1300,
,Somali,B-gpe
,elders,
,",",
,warlords,
,and,
,politicians,
,are,
,invited,
,.,
Sentence: 23,Iraqi,B-gpe
,military,
,officials,
,say,
,tanks,
,and,
,troops,
,have,
,arrived,
,in,
,the,
,northern,
,city,
,Mosul,B-ge
,for,
,a,
,new,
,offensive,
,against,
,al,B-rg
,Qaida,I-rg
,in,I-rg
,Iraq,I-rg
,fighters,
,.,
Sentence: 24,Officials,
,will,
,not,
,say,
,how,
,many,
,troops,
,have,
,arrived,
,in,
,the,
,Sunni,B-ge
,Arab,I-ge
,and,
,Kurdish,B-ge
,city,
,",",
,where,
,bombings,
,last,
,week,
,killed,
,at,
,least,
,34,
,people,
,and,
,wounded,
,more,
,than,
,200,
,.,
Sentence: 25,U.S.,B-gpe
,commanders,
,have,
,not,
,explained,
,how,
,American,B-gpe
,forces,
,will,
,participate,
,in,
,the,
,offensive,
,.,
Sentence: 26,Officials,
,say,
,al,B-rg
,Qaida,I-rg
,in,I-rg
,Iraq,I-rg
,fighters,
,have,
,fled,
,successful,
,campaigns,
,against,
,them,
,in,
,Anbar,B-ge
,province,
,and,
,Baghdad,B-ge
,to,
,other,
,northern,
,provinces,
,.,
Sentence: 27,Mosul,B-ge
,is,
,the,
,largest,
,city,
,north,
,of,
,Baghdad,B-ge
,and,
,has,
,long,
,been,
,a,
,stronghold,
,of,
,Sunni,B-rg
,militant,
,fighters,
,.,
Sentence: 28,In,
,other,
,violence,
,",",
,U.S.,B-gpe
,officials,
,said,
,one,
,American,B-gpe
,soldier,
,was,
,killed,
,while,
,on,
,patrol,
,in,
,Baghdad,B-ge
,Sunday,B-tim
,.,
Sentence: 29,Egyptian,B-gpe
,police,
,have,
,arrested,
,at,
,least,
,16,
,members,
,of,
,the,
,opposition,
,Muslim,B-rg
,Brotherhood,I-rg
,as,
,parts,
,of,
,the,
,country,
,prepare,
,for,
,parliamentary,
,runoff,
,elections,
,Saturday,B-tim
,.,
Sentence: 30,The,
,arrests,
,occurred,
,Friday,B-tim
,in,
,Alexandria,B-ge
,.,
Sentence: 31,A,
,spokesman,
,for,
,the,
,Brotherhood,B-rg
,said,
,the,
,arrests,
,are,
,an,
,attempt,
,to,
,cut,
,the,
,Brotherhood,B-rg
,off,
,from,
,its,
,supporters,
,and,
,punishment,
,for,
,winning,
,parliamentary,
,seats,
,in,
,earlier,
,elections,
,.,
Sentence: 32,The,
,Muslim,B-rg
,Brotherhood,I-rg
,has,
,tripled,
,its,
,strength,
,in,
,parliament,
,in,
,recent,
,elections,
,",",
,raising,
,the,
,party,
,'s,
,total,
,to,
,47,
,seats,
,.,
Sentence: 33,In,
,Saturday,B-tim
,'s,
,elections,
,",",
,voters,
,will,
,cast,
,ballots,
,in,
,nine,
,provinces,
,where,
,no,
,candidate,
,won,
,a,
,majority,
,in,
,the,
,previous,
,round,
,of,
,voting,
,.,
Sentence: 34,The,
,Muslim,B-rg
,Brotherhood,I-rg
,is,
,banned,
,as,
,a,
,political,
,party,
,",",
,but,
,it,
,endorses,
,so-called,
,independent,
,candidates,
,whose,
,allegiance,
,to,
,the,
,party,
,is,
,known,
,to,
,voters,
,.,
Sentence: 35,Hardline,
,lawmakers,
,in,
,Pakistan,B-ge
,'s,
,North,B-ge
,West,I-ge
,Frontier,I-ge
,Province,I-ge
,have,
,pushed,
,through,
,a,
,law,
,that,
,aims,
,to,
,ensure,
,"""",
,Islamic,
,correctness,
,"""",
,in,
,public,
,places,
,and,
,establishes,
,a,
,morality,
,police,
,to,
,enforce,
,decent,
,behavior,
,.,
Sentence: 36,A,
,six-party,
,coalition,
,of,
,religious,
,based,
,parties,
,",",
,the,
,Mutahida,B-rg
,Majlis-e-Amal,I-rg
,",",
,dominates,
,the,
,provincial,
,assembly,
,",",
,so,
,the,
,bill,
,was,
,easily,
,passed,
,Thursday,B-tim
,by,
,a,
,vote,
,of,
,68-34,
,.,
Sentence: 37,The,
,provincial,
,governor,
,must,
,still,
,sign,
,the,
,bill,
,before,
,it,
,becomes,
,law,
,",",
,a,
,step,
,seen,
,only,
,as,
,a,
,formality,
,.,
Sentence: 38,The,
,proposed,
,law,
,calls,
,for,
,setting,
,up,
,a,
,"""",
,religious,
,police,
,force,
,"""",
,to,
,make,
,sure,
,people,
,adhere,
,to,
,Islamic,
,values,
,in,
,public,
,places,
,",",
,and,
,entertainment,
,outlets,
,close,
,during,
,weekly,
,Friday,B-tim
,prayers,
,.,
Sentence: 39,Violators,
,could,
,be,
,jailed,
,for,
,up,
,to,
,six,
,months,
,.,
Sentence: 40,The,
,opposition,
,has,
,denounced,
,the,
,measure,
,",",
,comparing,
,it,
,to,
,the,
,draconian,
,rule,
,of,
,the,
,former,
,Taleban,B-rg
,in,
,neighboring,
,Afghanistan,B-ge
,.,
Sentence: 41,British,B-gpe
,police,
,say,
,they,
,have,
,arrested,
,a,
,man,
,who,
,dressed,
,as,
,suicide,
,bomber,
,at,
,a,
,demonstration,
,against,
,the,
,publication,
,of,
,cartoons,
,depicting,
,Islam,B-rg
,'s,
,Prophet,B-per
,Muhammad,I-per
,.,
Sentence: 42,Bedfordshire,B-gpe
,police,
,said,
,Tuesday,B-tim
,that,
,Omar,B-per
,Khayam,I-per
,was,
,arrested,
,in,
,Bedford,B-ge
,for,
,breaching,
,the,
,conditions,
,of,
,his,
,parole,
,.,
Sentence: 43,Police,
,said,
,the,
,British,B-rg
,Home,I-rg
,Office,I-rg
,sought,
,an,
,investigation,
,of,
,Khayam,B-per
,'s,
,behavior,
,after,
,he,
,was,
,photographed,
,last,
,week,
,at,
,a,
,demonstration,
,dressed,
,in,
,fatigues,
,",",
,a,
,black,
,cap,
,",",
,and,
,a,
,bulky,
,belt,
,.,
Sentence: 44,A,
,Home,B-rg
,Office,I-rg
,spokesman,
,told,
,the,
,Associated,B-rg
,Press,I-rg
,that,
,if,
,the,
,behavior,
,of,
,a,
,paroled,
,offender,
,gives,
,cause,
,for,
,concern,
,",",
,he,
,can,
,be,
,sent,
,back,
,to,
,prison,
,.,
Sentence: 45,The,
,AP,B-rg
,also,
,reports,
,Khayam,B-per
,has,
,been,
,on,
,parole,
,from,
,prison,
,since,
,last,
,year,
,after,
,serving,
,half,
,his,
,six-year,
,sentence,
,for,
,drug,
,dealing,
,.,
Sentence: 46,Pakistani,B-gpe
,officials,
,say,
,unidentified,
,gunmen,
,have,
,killed,
,three,
,people,
,",",
,including,
,a,
,former,
,government,
,minister,
,",",
,in,
,a,
,semi-autonomous,
,tribal,
,region,
,bordering,
,Afghanistan,B-ge
,.,
Sentence: 47,The,
,officials,
,say,
,prominent,
,tribal,
,leader,
,Malik,B-per
,Faridullah,I-per
,Khan,I-per
,was,
,traveling,
,in,
,South,B-ge
,Waziristan,I-ge
,Sunday,B-tim
,when,
,his,
,vehicle,
,was,
,ambushed,
,in,
,the,
,Kani,B-ge
,Wam,I-ge
,area,
,.,
Sentence: 48,His,
,driver,
,and,
,a,
,tribal,
,elder,
,were,
,also,
,killed,
,.,
Sentence: 49,No,
,one,
,has,
,claimed,
,responsibility,
,for,
,the,
,killings,
,.,
Sentence: 50,The,
,ambush,
,came,
,a,
,day,
,after,
,a,
,commander,
,of,
,Pakistani,B-gpe
,troops,
,said,
,the,
,army,
,has,
,almost,
,completely,
,eliminated,
,militants,
,in,
,South,B-ge
,Waziristan,I-ge
,.,
Sentence: 51,The,
,area,
,became,
,a,
,refuge,
,for,
,many,
,al-Qaida,B-rg
,and,
,Taleban,B-rg
,fighters,
,after,
,the,
,Taleban,B-rg
,government,
,was,
,ousted,
,in,
,Afghanistan,B-ge
,in,
,2001,B-tim
,.,
Sentence: 52,A,
,senior,
,Pakistani,B-gpe
,military,
,official,
,says,
,Pakistan,B-gpe
,wants,
,to,
,put,
,what,
,he,
,calls,
,the,
,"""",
,sordid,
,chapter,
,"""",
,of,
,proliferation,
,by,
,one,
,of,
,its,
,top,
,scientists,
,behind,
,it,
,and,
,build,
,civilian,
,nuclear,
,ties,
,with,
,the,
,United,B-gpe
,States,I-gpe
,.,
Sentence: 53,But,
,he,
,says,
,Pakistan,B-gpe
,is,
,not,
,ready,
,to,
,make,
,the,
,nuclear,
,scientist,
,",",
,Abdul,B-per
,Qadeer,I-per
,Khan,I-per
,",",
,available,
,for,
,direct,
,questioning,
,over,
,his,
,sale,
,of,
,nuclear,
,parts,
,and,
,secrets,
,to,
,states,
,including,
,Iran,B-gpe
,",",
,Libya,B-gpe
,and,
,North,B-gpe
,Korea,I-gpe
,.,
Sentence: 54,He,
,said,
,there,
,are,
,reasons,
,of,
,national,
,sensitivities,
,for,
,not,
,making,
,him,
,available,
,.,
Sentence: 55,The,
,Pakistani,B-gpe
,official,
,was,
,giving,
,a,
,background,
,briefing,
,to,
,a,
,small,
,group,
,of,
,reporters,
,in,
,Washington,B-ge
,.,
Sentence: 56,Khan,B-per
,admitted,
,in,
,2004,B-tim
,that,
,he,
,operated,
,a,
,worldwide,
,clandestine,
,network,
,to,
,sell,
,nuclear,
,technology,
,in,
,the,
,black,
,market,
,.,
Sentence: 57,He,
,was,
,placed,
,under,
,house,
,arrest,
,in,
,Islamabad,B-ge
,",",
,but,
,not,
,jailed,
,because,
,he,
,is,
,considered,
,the,
,father,
,of,
,Pakistan,B-ge
,'s,
,nuclear,
,bomb,
,.,
Sentence: 58,U.S.,B-gpe
,Army,B-rg
,officials,
,said,
,Wednesday,B-tim
,that,
,they,
,will,
,not,
,renew,
,a,
,controversial,
,multi-billion,
,dollar,
,contract,
,with,
,the,
,Halliburton,B-rg
,company,
,to,
,provide,
,logistical,
,support,
,to,
,U.S.,B-gpe
,troops,
,in,
,Iraq,B-ge
,and,
,elsewhere,
,.,
Sentence: 59,Halliburton,B-rg
,has,
,been,
,providing,
,a,
,long,
,list,
,of,
,services,
,",",
,from,
,meals,
,to,
,communication,
,",",
,for,
,the,
,military,
,for,
,several,
,years,
,.,
Sentence: 60,Critics,
,of,
,Halliburton,B-rg
,include,
,auditors,
,and,
,congressional,
,Democrats,
,.,
Sentence: 61,They,
,say,
,the,
,company,
,has,
,produced,
,some,
,shoddy,
,work,
,and,
,charges,
,too,
,much,
,money,
,.,
Sentence: 62,The,
,company,
,strongly,
,denies,
,the,
,allegations,
,.,
Sentence: 63,When,
,the,
,huge,
,contract,
,is,
,put,
,out,
,for,
,re-bidding,
,",",
,several,
,companies,
,will,
,get,
,a,
,chance,
,to,
,compete,
,for,
,portions,
,of,
,the,
,work,
,.,
Sentence: 64,Representatives,
,from,
,the,
,Asia,B-rg
,Pacific,I-rg
,Economic,I-rg
,Cooperation,I-rg
,Business,I-rg
,Advisory,I-rg
,Council,I-rg
,are,
,holding,
,meetings,
,this,
,week,
,to,
,finalize,
,their,
,annual,
,report,
,for,
,APEC,B-rg
,leaders,
,who,
,will,
,hold,
,a,
,summit,
,on,
,September,B-tim
,8,I-tim
,and,
,9,B-tim
,.,
Sentence: 65,VOA,B-rg
,'s,
,Nancy-Amelia,B-per
,Collins,I-per
,reports,
,from,
,Sydney,B-ge
,.,
Sentence: 66,Energy,
,",",
,security,
,",",
,climate,
,change,
,",",
,the,
,World,B-rg
,Trade,I-rg
,Organization,I-rg
,'s,
,stalled,
,negotiations,
,",",
,and,
,investment,
,are,
,all,
,expected,
,to,
,be,
,among,
,the,
,major,
,topics,
,in,
,the,
,annual,
,report,
,of,
,the,
,APEC,B-rg
,Business,I-rg
,Advisory,I-rg
,Council,I-rg
,",",
,known,
,as,
,ABAC,B-rg
,.,
Sentence: 67,Tim,B-per
,Harcourt,I-per
,",",
,the,
,chief,
,economist,
,of,
,the,
,Australian,B-rg
,Trade,I-rg
,Commission,I-rg
,",",
,says,
,ABAC,B-rg
,plays,
,an,
,important,
,role,
,by,
,informing,
,governments,
,where,
,there,
,are,
,problems,
,.,
Sentence: 68,"""",
,The,
,most,
,important,
,thing,
,the,
,business,
,groups,
,can,
,do,
,is,
,to,
,tell,
,the,
,governments,
,where,
,there,
,are,
,logjams,
,",",
,where,
,there,
,are,
,obstacles,
,",",
,where,
,things,
,can,
,improve,
,",",
,"""",
,Harcourt,B-per
,said,
,.,
Sentence: 69,"""",
,I,
,think,
,actually,
,ABAC,B-rg
,has,
,played,
,a,
,pretty,
,good,
,leadership,
,on,
,that,
,in,
,talking,
,about,
,trade,
,facilitation,
,and,
,basically,
,making,
,sure,
,standards,
,are,
,consistent,
,and,
,harmonious,
,across,
,the,
,region,
,.,
,"""",
Sentence: 70,ABAC,B-rg
,comprises,
,up,
,to,
,three,
,members,
,of,
,the,
,private,
,sector,
,of,
,each,
,of,
,the,
,21,
,economies,
,that,
,make,
,up,
,APEC,B-rg
,.,
Sentence: 71,It,
,meets,
,three,
,times,
,a,
,year,
,.,
Sentence: 72,It,
,was,
,made,
,a,
,permanent,
,body,
,in,
,1995,B-tim
,to,
,provide,
,an,
,independent,
,business,
,perspective,
,within,
,APEC,B-rg
,.,
Sentence: 73,Members,
,represent,
,a,
,range,
,of,
,business,
,sectors,
,",",
,including,
,medium,
,and,
,small,
,businesses,
,.,
Sentence: 74,ABAC,B-rg
,says,
,there,
,is,
,a,
,need,
,for,
,businesses,
,to,
,improve,
,energy,
,efficiency,
,and,
,to,
,encourage,
,conservation,
,practices,
,",",
,and,
,is,
,expected,
,to,
,include,
,this,
,in,
,its,
,annual,
,report,
,.,
Sentence: 75,Harcourt,B-per
,",",
,of,
,the,
,Australian,B-rg
,Trade,I-rg
,Commission,I-rg
,",",
,says,
,the,
,ABAC,B-rg
,report,
,will,
,also,
,discuss,
,ways,
,to,
,enhance,
,regional,
,cooperation,
,.,
Sentence: 76,"""",
,I,
,reckon,
,they,
,'ll,
,talk,
,a,
,little,
,bit,
,about,
,customs,
,and,
,quarantine,
,",",
,a,
,little,
,bit,
,about,
,having,
,consistent,
,security,
,arrangements,
,around,
,the,
,region,
,",",
,"""",
,Harcourt,B-per
,said,
,.,
Sentence: 77,"""",
,And,
,I,
,think,
,they,
,'ll,
,want,
,a,
,one-stop,
,shop,
,in,
,terms,
,of,
,combining,
,security,
,",",
,immigration,
,",",
,customs,
,",",
,and,
,quarantine,
,together,
,�,
,just,
,to,
,make,
,sure,
,it,
,'s,
,more,
,streamlined,
,and,
,provides,
,more,
,certainty,
,.,
,"""",
Sentence: 78,ABAC,B-rg
,is,
,the,
,only,
,non-governmental,
,body,
,that,
,has,
,an,
,official,
,role,
,and,
,formal,
,dialogue,
,with,
,the,
,leaders,
,of,
,the,
,APEC,B-rg
,economies,
,.,
Sentence: 79,It,
,will,
,present,
,its,
,annual,
,report,
,at,
,the,
,APEC,B-rg
,leaders,
,meeting,
,on,
,Saturday,B-tim
,.,
Sentence: 80,Sudan,B-gpe
,'s,
,government,
,says,
,it,
,will,
,order,
,troops,
,to,
,end,
,attacks,
,immediately,
,in,
,Darfur,B-ge
,",",
,and,
,is,
,asking,
,rebels,
,to,
,do,
,the,
,same,
,.,
Sentence: 81,Foreign,B-per
,Minister,I-per
,Mustafa,I-per
,Osman,I-per
,Ismail,I-per
,says,
,Sudanese,B-gpe
,troops,
,will,
,also,
,withdraw,
,to,
,positions,
,held,
,before,
,an,
,April,B-tim
,cease-fire,
,",",
,if,
,rebels,
,in,
,the,
,western,
,region,
,agree,
,to,
,stop,
,attacks,
,.,
Sentence: 82,Mr.,B-per
,Ismail,I-per
,announced,
,the,
,decision,
,after,
,meeting,
,with,
,officials,
,from,
,the,
,United,B-rg
,Nations,I-rg
,and,
,African,B-rg
,Union,I-rg
,in,
,Khartoum,B-ge
,Sunday,B-tim
,.,
Sentence: 83,In,
,recent,
,weeks,
,",",
,AU,B-rg
,officials,
,say,
,Sudanese,B-gpe
,troops,
,and,
,rebels,
,have,
,repeatedly,
,violated,
,the,
,April,B-tim
,truce,
,.,
Sentence: 84,Saturday,B-tim
,",",
,the,
,head,
,of,
,AU,B-rg
,forces,
,in,
,Darfur,B-ge
,accused,
,Sudanese,B-gpe
,government,
,helicopters,
,of,
,bombing,
,rebel,
,sites,
,in,
,the,
,South,B-ge
,Darfur,I-ge
,village,
,of,
,Labado,B-ge
,.,
Sentence: 85,Khartoum,B-gpe
,says,
,troops,
,were,
,defending,
,their,
,positions,
,from,
,rebel,
,attacks,
,.,
Sentence: 86,Aid,
,workers,
,say,
,some,
,relief,
,efforts,
,have,
,been,
,suspended,
,in,
,South,B-ge
,Darfur,I-ge
,due,
,to,
,recent,
,attacks,
,.,
Sentence: 87,Indonesian,B-gpe
,police,
,have,
,arrested,
,three,
,men,
,in,
,connection,
,with,
,the,
,October,B-tim
,1,I-tim
,Bali,B-ge
,bombings,
,that,
,left,
,23,
,people,
,dead,
,.,
Sentence: 88,Indonesian,B-gpe
,police,
,said,
,Wednesday,B-tim
,the,
,men,
,were,
,flown,
,to,
,Bali,B-ge
,from,
,neighboring,
,Java,B-ge
,island,
,for,
,questioning,
,at,
,Bali,B-ge
,police,
,headquarters,
,.,
Sentence: 89,Australian,B-gpe
,and,
,French,B-gpe
,news,
,agencies,
,say,
,at,
,least,
,one,
,of,
,the,
,men,
,arrested,
,(,
,Cholily,B-per
,),
,was,
,captured,
,during,
,a,
,series,
,of,
,counter-terrorism,
,raids,
,last,
,week,
,in,
,Indonesia,B-ge
,.,
Sentence: 90,The,
,raids,
,ended,
,with,
,the,
,death,
,of,
,alleged,
,extremist,
,bombmaker,
,Azahari,B-per
,bin,I-per
,Husin,I-per
,.,
Sentence: 91,Indonesian,B-gpe
,authorities,
,blame,
,Azahari,B-per
,bin,I-per
,Husin,I-per
,for,
,orchestrating,
,last,
,month,
,'s,
,attacks,
,in,
,Bali,B-ge
,as,
,well,
,as,
,the,
,2002,B-tim
,Bali,B-ge
,bombings,
,that,
,killed,
,more,
,than,
,200,
,people,
,.,
Sentence: 92,Gunmen,
,have,
,shot,
,and,
,killed,
,a,
,Roman,B-rg
,Catholic,I-rg
,nun,
,and,
,her,
,bodyguard,
,at,
,the,
,hospital,
,where,
,she,
,worked,
,in,
,Islamist-controlled,
,Mogadishu,B-ge
,",",
,Somalia,B-ge
,.,
Sentence: 93,Some,
,witnesses,
,to,
,the,
,Sunday,B-tim
,shooting,
,said,
,they,
,feared,
,the,
,attack,
,was,
,linked,
,to,
,Muslim,
,anger,
,toward,
,Pope,B-per
,Benedict,I-per
,.,
Sentence: 94,Two,
,men,
,with,
,pistols,
,attacked,
,the,
,nun,
,",",
,Sister,B-per
,Leonella,I-per
,Sgorbati,I-per
,",",
,after,
,she,
,finished,
,teaching,
,a,
,medical,
,school,
,class,
,at,
,the,
,hospital,
,in,
,southern,
,Mogadishu,B-ge
,.,
Sentence: 95,Officials,
,say,
,one,
,suspect,
,was,
,arrested,
,.,
Sentence: 96,In,
,Rome,B-ge
,",",
,a,
,Vatican,B-rg
,spokesman,
,deplored,
,the,
,attack,
,and,
,said,
,he,
,hoped,
,it,
,was,
,an,
,isolated,
,event,
,",",
,and,
,not,
,irrationality,
,arising,
,from,
,comments,
,made,
,by,
,the,
,Pope,
,which,
,angered,
,some,
,Muslims,
,.,
Sentence: 97,Authorities,
,in,
,Mogadishu,B-ge
,have,
,not,
,determined,
,a,
,motive,
,for,
,the,
,shooting,
,.,
Sentence: 98,The,
,pope,
,has,
,said,
,he,
,meant,
,no,
,offense,
,to,
,Muslims,
,when,
,he,
,quoted,
,a,
,14,
,century,
,Byzantine,B-per
,emperor,
,as,
,saying,
,some,
,teachings,
,of,
,the,
,Prophet,B-per
,Muhammed,I-per
,brought,
,evil,
,to,
,the,
,world,
,.,
Sentence: 99,Pakistani,B-gpe
,forces,
,have,
,targeted,
,militants,
,in,
,the,
,northwest,
,for,
,a,
,third,
,day,
,",",
,launching,
,airstrikes,
,that,
,they,
,say,
,killed,
,at,
,least,
,nine,
,suspected,
,insurgents,
,.,
Sentence: 100,Helicopter,
,gunships,
,Saturday,B-tim
,pounded,
,militant,
,hideouts,
,in,
,the,
,Orakzai,B-ge
,tribal,
,region,
,",",
,where,
,many,
,Taliban,B-rg
,militants,
,are,
,believed,
,to,
,have,
,fled,
,to,
,avoid,
,an,
,earlier,
,military,
,offensive,
,in,
,nearby,
,South,B-ge
,Waziristan,I-ge
,.,
Sentence: 101,The,
,Pakistani,B-gpe
,military,
,launched,
,its,
,offensive,
,in,
,Orakzai,B-ge
,to,
,hunt,
,Taliban,B-rg
,insurgents,
,.,
Sentence: 102,So,
,far,
,",",
,nearly,
,100,
,militants,
,have,
,been,
,reported,
,killed,
,in,
,the,
,region,
,since,
,Thursday,B-tim
,.,
Sentence: 103,On,
,Friday,B-tim
,",",
,five,
,soldiers,
,were,
,killed,
,when,
,dozens,
,of,
,militants,
,stormed,
,a,
,military,
,checkpoint,
,in,
,Orakzai,B-ge
,.,
Sentence: 104,At,
,least,
,32,
,suspected,
,militants,
,were,
,killed,
,when,
,troops,
,launched,
,a,
,counter-attack,
,.,
Sentence: 105,Elsewhere,
,in,
,the,
,northwest,
,",",
,authorities,
,on,
,Saturday,B-tim
,found,
,the,
,bodies,
,of,
,six,
,people,
,who,
,had,
,been,
,shot,
,dead,
,in,
,the,
,Kurram,B-ge
,region,
,along,
,the,
,Afghan,B-gpe
,border,
,.,
Sentence: 106,The,
,six,
,were,
,kidnapped,
,a,
,few,
,days,
,ago,
,.,
Sentence: 107,The,
,U.S.,B-rg
,military,
,in,
,Afghanistan,B-ge
,says,
,coalition,
,forces,
,killed,
,14,
,Taleban,B-rg
,militants,
,in,
,separate,
,clashes,
,this,
,week,
,.,
Sentence: 108,The,
,military,
,said,
,Saturday,B-tim
,13,
,guerrillas,
,were,
,killed,
,in,
,two,
,encounters,
,in,
,the,
,central,
,province,
,of,
,Uruzgan,B-ge
,.,
Sentence: 109,One,
,Afghan,B-gpe
,soldier,
,was,
,killed,
